ricoh-vlog-hi-contrast-bw	vlog	{"contrast": 1.671, "saturation": 0.0, "mono_spread": 0.0, "black_level": 0.0, "white_level": 0.9844, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 0.0}	input:vlog,高對比,黑白
ricoh-vlog-monotone	vlog	{"contrast": 1.031, "saturation": 0.0, "mono_spread": 0.0, "black_level": 0.0, "white_level": 0.9791, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 0.0}	input:vlog,黑白
ricoh-vlog-negative-film	vlog	{"contrast": 0.902, "saturation": 0.904, "mono_spread": 0.699243, "black_level": 0.03, "white_level": 0.9724, "shadow_chroma": 0.0022, "highlight_chroma": 0.0056, "shadow_hue": 220.0, "highlight_hue": 75.0, "split_angle": 145.0, "skin_ratio": 0.908}	input:vlog
ricoh-vlog-positive-film	vlog	{"contrast": 1.138, "saturation": 1.596, "mono_spread": 0.888409, "black_level": 0.0, "white_level": 0.981, "shadow_chroma": 0.0012, "highlight_chroma": 0.0008, "shadow_hue": 239.6, "highlight_hue": 239.4, "split_angle": 0.2, "skin_ratio": 1.671}	input:vlog,膚色濃,高飽和
ricoh-vlog-retro	vlog	{"contrast": 0.844, "saturation": 0.662, "mono_spread": 0.556142, "black_level": 0.045, "white_level": 0.9756, "shadow_chroma": 0.0016, "highlight_chroma": 0.0017, "shadow_hue": 59.9, "highlight_hue": 60.2, "split_angle": 0.3, "skin_ratio": 0.708}	input:vlog,低對比,低飽和,膚色收斂,霧面
ricoh-vlog-soft-monotone	vlog	{"contrast": 0.731, "saturation": 0.0, "mono_spread": 0.0, "black_level": 0.045, "white_level": 0.9503, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 0.0}	input:vlog,低對比,霧面,黑白
ricoh-vlog-standard	vlog	{"contrast": 1.045, "saturation": 1.108, "mono_spread": 0.819618, "black_level": 0.0, "white_level": 0.979, "shadow_chroma": 0.0009, "highlight_chroma": 0.0008, "shadow_hue": 239.6, "highlight_hue": 239.4, "split_angle": 0.1, "skin_ratio": 1.081}	input:vlog
ricoh-vlog-vivid	vlog	{"contrast": 1.113, "saturation": 1.519, "mono_spread": 0.937891, "black_level": 0.0, "white_level": 0.9804, "shadow_chroma": 0.0011, "highlight_chroma": 0.001, "shadow_hue": 239.6, "highlight_hue": 239.4, "split_angle": 0.2, "skin_ratio": 1.568}	input:vlog,膚色濃,高飽和
sony-vlog-bw	vlog	{"contrast": 0.998, "saturation": 0.0, "mono_spread": 0.0, "black_level": 0.0, "white_level": 0.9718, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 0.0}	input:vlog,黑白
sony-vlog-fl	vlog	{"contrast": 1.076, "saturation": 1.004, "mono_spread": 0.84503, "black_level": 0.0, "white_level": 0.9757, "shadow_chroma": 0.0032, "highlight_chroma": 0.0, "shadow_hue": 250.0, "highlight_hue": 89.9, "split_angle": 160.1, "skin_ratio": 0.982}	input:vlog
sony-vlog-fl2	vlog	{"contrast": 1.12, "saturation": 0.923, "mono_spread": 0.718636, "black_level": 0.0, "white_level": 0.9631, "shadow_chroma": 0.0016, "highlight_chroma": 0.0094, "shadow_hue": 258.3, "highlight_hue": 77.0, "split_angle": 178.7, "skin_ratio": 1.097}	input:vlog
sony-vlog-fl3	vlog	{"contrast": 0.805, "saturation": 1.026, "mono_spread": 0.838873, "black_level": 0.0002, "white_level": 0.9665, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 1.013}	input:vlog,低對比
sony-vlog-in	vlog	{"contrast": 0.734, "saturation": 0.702, "mono_spread": 0.570937, "black_level": 0.0554, "white_level": 0.9491, "shadow_chroma": 0.0015, "highlight_chroma": 0.0076, "shadow_hue": 148.2, "highlight_hue": 68.5, "split_angle": 79.7, "skin_ratio": 0.798}	input:vlog,低對比,低飽和,膚色收斂,霧面
sony-vlog-nt	vlog	{"contrast": 0.901, "saturation": 0.77, "mono_spread": 0.64011, "black_level": 0.0, "white_level": 0.9648, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 0.777}	input:vlog,低飽和,膚色收斂
sony-vlog-pt	vlog	{"contrast": 0.918, "saturation": 0.913, "mono_spread": 0.782937, "black_level": 0.0, "white_level": 0.9647, "shadow_chroma": 0.0015, "highlight_chroma": 0.0015, "shadow_hue": 62.2, "highlight_hue": 62.4, "split_angle": 0.2, "skin_ratio": 0.976}	input:vlog
sony-vlog-se	vlog	{"contrast": 0.966, "saturation": 0.553, "mono_spread": 0.224582, "black_level": 0.0, "white_level": 0.9657, "shadow_chroma": 0.0494, "highlight_chroma": 0.0247, "shadow_hue": 68.0, "highlight_hue": 68.0, "split_angle": 0.0, "skin_ratio": 1.84}	input:vlog,低飽和,暖調,膚色濃
sony-vlog-sh	vlog	{"contrast": 0.606, "saturation": 1.032, "mono_spread": 0.843081, "black_level": 0.001, "white_level": 0.9414, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 0.955}	input:vlog,低對比
sony-vlog-st	vlog	{"contrast": 0.966, "saturation": 1.033, "mono_spread": 0.829899, "black_level": 0.0, "white_level": 0.9698, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 1.058}	input:vlog
sony-vlog-vv	vlog	{"contrast": 1.059, "saturation": 1.481, "mono_spread": 0.948925, "black_level": 0.0, "white_level": 0.975, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 1.536}	input:vlog,膚色濃,高飽和
sony-vlog-vv2	vlog	{"contrast": 0.987, "saturation": 1.549, "mono_spread": 0.958039, "black_level": 0.0, "white_level": 0.9742, "shadow_chroma": 0.0, "highlight_chroma": 0.0, "shadow_hue": 89.9, "highlight_hue": 89.9, "split_angle": 0.0, "skin_ratio": 1.594}	input:vlog,膚色濃,高飽和
